Conventional Produce,,,PLU
Oranges,Navel,Small,3618
Oranges,Tangelo,,3625
Oranges,Tangerine,,3632
Oranges,Temple,,3639
Oranges,Valencia,Large,3646
Oranges,Valencia,Small,3653
Parsnips,,,3660
Pears,Asian,,3667
Pears,D'Anjou,,3674
Pears,Bartlett,,3681
Pears,Bosc,,3688
Pears,Red,,3695
Peppers,Hot,,3702
Peppers,Green,,3709
Peppers,Red,,3716
Potatoes,Baking,Bulk,3723
Potatoes,Baking,Bag,3730
Potatoes,Fingerling,Bulk,3737
Potatoes,Fingerling,Bag,3744
Potatoes,Mixed,Bulk,3751
Potatoes,Mixed,Bag,3758
Potatoes,Purple,Bulk,3765
Potatoes,Purple,Bag,3772
Potatoes,Red,Bulk,3779
Potatoes,Red,Bag,3786
Potatoes,Sweet,Bulk,3793
Potatoes,Sweet,Bag,3800
Potatoes,White,Bulk,3807
Potatoes,White,Bag,3814
Potatoes,Yukon Gold,Bulk,3821
Potatoes,Yukon Gold,Bag,3828
Plums,Black,,3835
Plums,Prune,,3842
Plums,Red,,3849
Radish,Bunch,,3856
Radish,Daikon,,3863
RutaBaga,,,3870
Soybeans,,,3877
Spinach,Bunch,,3884
Spinach,Bag,,3891
Squash,Winter,Acorn,3898
Squash,Winter,Buttercup,3905
Squash,Winter,Butternut,3912
Squash,Winter,Delicata,3919
Squash,Winter,Kabocha,3926
Squash,Winter,Mix,3933
Squash,Patty Pan,,3940
Squash,Yellow,,3947
Squash,Zucchini,,3954
Tomatoes,Cherry,,3961
Tomatoes,Regular,,3968
Tomatoes,Roma,,3975
Turnips,,,3982
