0 Transcend       17
1 Cultivation     26
2 Passage         9
3 Gravitation     9
4 Between         9
5 Sketchbook      1
6 Primrose        9
7 "Diamond Trust" 0
8 "Sleep Is Death"  22
9 "Star-filled Sky"  34
10 "The Castle Doctrine"  108
11 "Cordial Minuet"  52
12 "One Life"  142
