sep=,
Steam Sales data for Jason Rohrer: 2014-02-27 - 2014-03-30

Date, Bundle(ID#),Bundle Name,Product(ID#),Product Name,Type,Game,Platform,Country Code,Country,Region,Gross Units Sold,Chargeback/Returns,Net Units Sold,Base Price,Sale Price,Currency,Gross Steam Sales (USD),Chargeback/Returns (USD),VAT/Tax (USD),Net Steam Sales (USD),Tag
2014-02-27,-1,Direct Package Sale,8181,"Inside a Star Filled Sky",Steam,"Inside a Star-filled Sky ",Windows,US,United States,North America,2,0,2,7.99,7.99,USD,15.9800,0.0000,0.0000,15.9800,""
2014-02-27,-1,Direct Package Sale,8181,"Inside a Star Filled Sky",Steam,"Inside a Star-filled Sky ",Mac,US,United States,North America,1,0,1,7.99,7.99,USD,7.9900,0.0000,0.0000,7.9900,""
2014-02-27,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Windows,AU,Australia,Oceania,1,0,1,15.99,15.99,USD,15.9900,0.0000,0.0000,15.9900,""
2014-02-27,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Windows,BE,Belgium,Western Europe,1,0,1,14.99,14.99,EUR,20.6600,0.0000,-2.7014,17.9586,""
2014-02-27,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Windows,BY,Belarus,Russian Territories,1,0,1,10.99,10.99,USD,10.9900,0.0000,0.0000,10.9900,""
2014-02-27,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Windows,CA,Canada,North America,1,0,1,15.99,15.99,USD,15.9900,0.0000,0.0000,15.9900,""
2014-02-27,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Windows,GB,United Kingdom,Western Europe,1,0,1,12.49,12.49,GBP,20.8290,0.0000,-2.7183,18.1107,""
2014-02-27,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Windows,KR,Korea Republic of,Asia,1,0,1,15.99,15.99,USD,15.9900,0.0000,0.0000,15.9900,""
2014-02-27,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Windows,US,United States,North America,14,0,14,15.99,15.99,USD,225.2400,0.0000,-1.3800,223.8600,""
2014-02-27,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Mac,AU,Australia,Oceania,2,0,2,15.99,15.99,USD,31.9800,0.0000,0.0000,31.9800,""
2014-02-27,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Mac,DE,Germany,Western Europe,1,0,1,14.99,14.99,EUR,20.4800,0.0000,-2.6778,17.8022,""
2014-02-27,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Mac,ES,Spain,Western Europe,1,0,1,14.99,14.99,EUR,20.6597,0.0000,-2.7013,17.9584,""
2014-02-27,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Mac,GB,United Kingdom,Western Europe,1,0,1,12.49,12.49,GBP,20.7900,0.0000,-2.7132,18.0768,""
2014-02-27,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Mac,SE,Sweden,Western Europe,1,0,1,14.99,14.99,EUR,20.6600,0.0000,-2.7014,17.9586,""
2014-02-27,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Mac,TH,Thailand,South East Asia,1,0,1,15.99,15.99,USD,15.9900,0.0000,0.0000,15.9900,""
2014-02-27,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Mac,US,United States,North America,6,0,6,15.99,15.99,USD,95.9400,0.0000,0.0000,95.9400,""
2014-02-27,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Linux,US,United States,North America,1,0,1,15.99,15.99,USD,15.9900,0.0000,0.0000,15.9900,""
2014-02-28,-1,Direct Package Sale,8181,"Inside a Star Filled Sky",Steam,"Inside a Star-filled Sky ",Windows,US,United States,North America,1,0,1,7.99,7.99,USD,7.9900,0.0000,0.0000,7.9900,""
2014-02-28,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Windows,AR,Argentina,Latin America,1,0,1,15.99,15.99,USD,15.9900,0.0000,0.0000,15.9900,""
2014-02-28,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Windows,AU,Australia,Oceania,3,0,3,15.99,15.99,USD,47.9700,0.0000,0.0000,47.9700,""
2014-02-28,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Windows,DE,Germany,Western Europe,2,0,2,14.99,14.99,EUR,41.2600,0.0000,-5.3949,35.8651,""
2014-02-28,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Windows,DK,Denmark,Western Europe,1,0,1,14.99,14.99,EUR,20.6000,0.0000,-2.6935,17.9065,""
2014-02-28,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Windows,GB,United Kingdom,Western Europe,2,0,2,12.49,12.49,GBP,41.7000,0.0000,-5.4420,36.2580,""
2014-02-28,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Windows,PT,Portugal,Western Europe,1,0,1,14.99,14.99,EUR,20.5000,0.0000,-2.6805,17.8195,""
2014-02-28,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Windows,RU,Russian Federation,Russian Territories,2,0,2,349.00,349.00,RUB,19.3600,0.0000,0.0000,19.3600,""
2014-02-28,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Windows,US,United States,North America,10,0,10,15.99,15.99,USD,159.9000,0.0000,0.0000,159.9000,""
2014-02-28,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Mac,AU,Australia,Oceania,3,0,3,15.99,15.99,USD,47.9700,0.0000,0.0000,47.9700,""
2014-02-28,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Mac,CA,Canada,North America,1,0,1,15.99,15.99,USD,15.9900,0.0000,0.0000,15.9900,""
2014-02-28,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Mac,RU,Russian Federation,Russian Territories,1,0,1,349.00,349.00,RUB,9.5600,0.0000,0.0000,9.5600,""
2014-02-28,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Mac,US,United States,North America,6,0,6,15.99,15.99,USD,95.9400,0.0000,0.0000,95.9400,""
2014-02-28,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Linux,US,United States,North America,2,0,2,15.99,15.99,USD,31.9800,0.0000,0.0000,31.9800,""
