sep=,
Steam Sales data for Jason Rohrer: 2014-01-27 - 2014-02-27

Date, Bundle(ID#),Bundle Name,Product(ID#),Product Name,Type,Game,Platform,Country Code,Country,Region,Gross Units Sold,Chargeback/Returns,Net Units Sold,Base Price,Sale Price,Currency,Gross Steam Sales (USD),Chargeback/Returns (USD),VAT/Tax (USD),Net Steam Sales (USD),Tag
2014-01-29,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Windows,IT,Italy,Western Europe,7,0,7,14.99,11.24,EUR,107.4489,0.0000,-14.0524,93.3965,""
2014-01-29,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Windows,JP,Japan,Asia,4,0,4,15.99,11.99,USD,47.9600,0.0000,0.0000,47.9600,""
2014-01-29,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Windows,KR,Korea Republic of,Asia,11,0,11,15.99,11.99,USD,131.8900,0.0000,0.0000,131.8900,""
2014-01-29,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Windows,LT,Lithuania,Eastern Europe,1,0,1,14.99,11.24,EUR,15.3500,0.0000,-2.0075,13.3425,""
2014-01-29,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Windows,MX,Mexico,Latin America,3,0,3,15.99,11.99,USD,35.9700,0.0000,0.0000,35.9700,""
2014-01-29,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Windows,NL,Netherlands,Western Europe,19,0,19,14.99,11.24,EUR,291.6432,0.0000,-38.1417,253.5015,""
2014-01-29,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Windows,NO,Norway,Western Europe,20,0,20,14.99,11.24,EUR,306.9899,0.0000,0.0000,306.9899,""
2014-01-29,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Windows,NZ,New Zealand,Oceania,17,0,17,15.99,11.99,USD,203.8300,0.0000,0.0000,203.8300,""
2014-01-29,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Windows,PE,Peru,Latin America,1,0,1,15.99,11.99,USD,11.9900,0.0000,0.0000,11.9900,""
2014-01-29,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Windows,PL,Poland,Eastern Europe,4,0,4,14.99,11.24,EUR,61.3900,0.0000,-8.0287,53.3613,""
2014-01-29,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Windows,PR,Puerto Rico,Latin America,1,0,1,15.99,11.99,USD,11.9900,0.0000,0.0000,11.9900,""
2014-01-29,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Windows,PT,Portugal,Western Europe,2,0,2,14.99,11.24,EUR,30.7000,0.0000,-4.0150,26.6850,""
2014-01-29,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Windows,RU,Russian Federation,Russian Territories,50,0,50,349.00,261.00,RUB,372.8926,0.0000,0.0000,372.8926,""
2014-01-29,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Windows,SA,Saudi Arabia,Middle East,1,0,1,15.99,11.99,USD,11.9900,0.0000,0.0000,11.9900,""
2014-01-29,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Windows,SE,Sweden,Western Europe,33,0,33,14.99,11.24,EUR,506.5625,0.0000,-66.2492,440.3133,""
2014-01-29,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Windows,SG,Singapore,South East Asia,1,0,1,15.99,11.99,USD,11.9900,0.0000,0.0000,11.9900,""
2014-01-29,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Windows,SI,Slovenia,Eastern Europe,1,0,1,14.99,11.24,EUR,15.3486,0.0000,-2.0073,13.3413,""
2014-01-29,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Windows,TH,Thailand,South East Asia,2,0,2,15.99,11.99,USD,23.9800,0.0000,0.0000,23.9800,""
2014-01-29,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Windows,TR,Turkey,Middle East,4,0,4,15.99,11.99,USD,47.9600,0.0000,0.0000,47.9600,""
2014-01-29,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Windows,TW,Taiwan,Asia,1,0,1,15.99,11.99,USD,11.9900,0.0000,0.0000,11.9900,""
2014-01-29,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Windows,UA,Ukraine,Russian Territories,2,0,2,10.99,8.24,USD,16.4800,0.0000,0.0000,16.4800,""
2014-01-29,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Windows,US,United States,North America,1389,0,1389,15.99,11.99,USD,16733.9200,0.0000,-79.8100,16654.1100,""
2014-01-29,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Windows,VN,Viet Nam,South East Asia,1,0,1,15.99,11.99,USD,11.9900,0.0000,0.0000,11.9900,""
2014-01-29,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Windows,ZA,South Africa,Africa,3,0,3,15.99,11.99,USD,35.9700,0.0000,0.0000,35.9700,""
2014-01-29,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Mac,AU,Australia,Oceania,4,0,4,15.99,11.99,USD,47.9600,0.0000,0.0000,47.9600,""
2014-01-29,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Mac,CA,Canada,North America,20,0,20,15.99,11.99,USD,239.8000,0.0000,0.0000,239.8000,""
2014-01-29,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Mac,CN,China,Asia,1,0,1,15.99,11.99,USD,11.9900,0.0000,0.0000,11.9900,""
2014-01-29,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Mac,DE,Germany,Western Europe,5,0,5,14.99,11.24,EUR,76.7446,0.0000,-10.0368,66.7078,""
2014-01-29,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Mac,ES,Spain,Western Europe,1,0,1,14.99,11.24,EUR,15.3400,0.0000,-2.0062,13.3338,""
2014-01-29,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Mac,FI,Finland,Western Europe,1,0,1,14.99,11.24,EUR,15.3500,0.0000,-2.0075,13.3425,""
2014-01-29,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Mac,FR,France,Western Europe,5,0,5,14.99,11.24,EUR,76.7500,0.0000,-10.0375,66.7125,""
2014-01-29,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Mac,GB,United Kingdom,Western Europe,9,0,9,12.49,9.36,GBP,139.4100,0.0000,-18.1710,121.2390,""
2014-01-29,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Mac,IT,Italy,Western Europe,1,0,1,14.99,11.24,EUR,15.3500,0.0000,-2.0075,13.3425,""
2014-01-29,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Mac,JE,Jersey,Western Europe,1,0,1,12.49,9.36,GBP,15.4900,0.0000,0.0000,15.4900,""
2014-01-29,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Mac,JP,Japan,Asia,1,0,1,15.99,11.99,USD,11.9900,0.0000,0.0000,11.9900,""
2014-01-29,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Mac,KR,Korea Republic of,Asia,1,0,1,15.99,11.99,USD,11.9900,0.0000,0.0000,11.9900,""
2014-01-29,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Mac,KZ,Kazakhstan,Russian Territories,1,0,1,10.99,8.24,USD,8.2400,0.0000,0.0000,8.2400,""
