date,state,death,deathDelta
20200615,AL,774,1
20200616,AL,785,11
20200617,AL,790,5
20200618,AL,810,20
20200619,AL,822,12
20200620,AL,838,16
20200621,AL,839,1
20200622,AL,841,2
20200623,AL,864,23
20200624,AL,891,27
20200625,AL,896,5
20200626,AL,907,11
20200627,AL,919,12
20200628,AL,919,0
20200629,AL,929,10
20200630,AL,950,21
20200701,AL,972,22
20200702,AL,985,13
20200703,AL,1006,21
20200704,AL,1007,1
20200705,AL,1007,0
20200706,AL,1007,0
20200707,AL,1033,26
20200708,AL,1058,25
20200709,AL,1068,10
20200710,AL,1104,36
20200711,AL,1114,10
20200712,AL,1121,7
20200713,AL,1124,3
20200714,AL,1164,40
20200715,AL,1211,47
20200716,AL,1230,19
20200717,AL,1265,35
20200718,AL,1286,21
20200719,AL,1287,1
20200720,AL,1291,4
20200721,AL,1303,12
20200722,AL,1364,61
20200723,AL,1397,33
20200724,AL,1438,41
20200725,AL,1456,18
20200726,AL,1473,17
20200727,AL,1491,18
20200728,AL,1491,0
20200729,AL,1538,47
20200730,AL,1565,27
20200731,AL,1580,15
20200801,AL,1603,23
20200802,AL,1627,24
20200803,AL,1633,6
20200804,AL,1666,33
20200805,AL,1695,29
20200806,AL,1714,19
20200306,AR,,-1714
20200307,AR,,0
20200308,AR,,0
20200309,AR,,0
20200310,AR,,0
20200311,AR,,0
20200312,AR,,0
20200313,AR,,0
20200314,AR,,0
20200315,AR,,0
20200316,AR,,0
20200317,AR,,0
20200318,AR,,0
20200319,AR,,0
20200320,AR,,0
20200321,AR,,0
20200322,AR,0,0
20200323,AR,0,0
20200324,AR,0,0
20200325,AR,2,2
20200326,AR,3,1
20200327,AR,3,0
20200328,AR,5,2
20200329,AR,6,1
20200330,AR,7,1
20200331,AR,8,1
20200401,AR,10,2
20200402,AR,12,2
20200403,AR,12,0
20200404,AR,14,2
20200405,AR,16,2
20200406,AR,16,0
20200407,AR,16,0
20200408,AR,18,2
20200409,AR,21,3
20200410,AR,23,2
20200411,AR,24,1
20200412,AR,27,3
20200413,AR,30,3
20200414,AR,30,0
20200415,AR,33,3
20200416,AR,37,4
20200417,AR,37,0
20200418,AR,38,1
20200419,AR,40,2
20200420,AR,42,2
20200421,AR,43,1
20200422,AR,42,-1
20200423,AR,45,3
20200424,AR,45,0
20200425,AR,47,2
20200426,AR,49,2
20200427,AR,50,1
20200428,AR,52,2
20200429,AR,59,7
20200430,AR,61,2
20200501,AR,64,3
20200502,AR,73,9
20200503,AR,76,3
20200504,AR,81,5
20200505,AR,83,2
20200506,AR,85,2
20200507,AR,87,2
20200508,AR,88,1
20200509,AR,88,0
20200510,AR,88,0
20200511,AR,94,6
20200512,AR,95,1
