20200304,FL,,0
20200305,FL,,0
20200306,FL,,0
20200307,FL,,0
20200308,FL,,0
20200309,FL,,0
20200310,FL,,0
20200311,FL,2,2
20200312,FL,2,0
20200313,FL,2,0
20200314,FL,3,1
20200315,FL,4,1
20200316,FL,4,0
20200317,FL,6,2
20200318,FL,7,1
20200319,FL,8,1
20200320,FL,10,2
20200321,FL,12,2
20200322,FL,13,1
20200323,FL,14,1
20200324,FL,18,4
20200325,FL,22,4
20200326,FL,28,6
20200327,FL,34,6
20200328,FL,54,20
20200329,FL,56,2
20200330,FL,63,7
20200331,FL,77,14
20200401,FL,87,10
20200402,FL,128,41
20200403,FL,163,35
20200404,FL,191,28
20200405,FL,218,27
20200406,FL,236,18
20200407,FL,296,60
20200408,FL,309,13
20200409,FL,354,45
20200410,FL,390,36
20200411,FL,438,48
20200412,FL,465,27
20200413,FL,483,18
20200414,FL,537,54
20200415,FL,609,72
20200416,FL,646,37
20200417,FL,699,53
20200418,FL,754,55
20200419,FL,781,27
20200420,FL,806,25
20200421,FL,856,50
20200422,FL,910,54
20200423,FL,979,69
20200424,FL,1031,52
20200425,FL,1075,44
20200426,FL,1094,19
20200427,FL,1101,7
20200428,FL,1154,53
20200429,FL,1240,86
20200430,FL,1290,50
20200501,FL,1314,24
20200502,FL,1388,74
20200503,FL,1403,15
20200504,FL,1423,20
20200505,FL,1536,113
20200506,FL,1605,69
20200507,FL,1667,62
20200508,FL,1738,71
20200509,FL,1785,47
20200510,FL,1791,6
20200511,FL,1805,14
20200512,FL,1849,44
20200513,FL,1898,49
20200514,FL,1948,50
20200515,FL,1991,43
20200516,FL,2040,49
20200517,FL,2049,9
20200518,FL,2073,24
20200519,FL,2129,56
20200520,FL,2173,44
20200521,FL,2222,49
20200522,FL,2268,46
20200523,FL,2312,44
20200524,FL,2316,4
20200525,FL,2331,15
20200526,FL,2338,7
20200527,FL,2400,62
20200528,FL,2446,46
20200529,FL,2495,49
20200530,FL,2530,35
20200531,FL,2534,4
20200601,FL,2543,9
20200602,FL,2613,70
20200603,FL,2650,37
20200604,FL,2691,41
20200605,FL,2745,54
20200606,FL,2773,28
20200607,FL,2786,13
20200608,FL,2798,12
20200609,FL,2851,53
20200610,FL,2889,38
20200611,FL,2938,49
20200612,FL,2967,29
20200613,FL,3016,49
20200614,FL,3022,6
20200615,FL,3030,8
20200616,FL,3085,55
20200617,FL,3110,25
20200618,FL,3154,44
20200619,FL,3197,43
20200620,FL,3237,40
20200621,FL,3254,17
20200622,FL,3266,12
20200623,FL,3333,67
20200624,FL,3377,44
20200625,FL,3423,46
20200626,FL,3464,41
20200627,FL,3489,25
20200628,FL,3518,29
20200629,FL,3546,28
20200630,FL,3604,58
20200701,FL,3650,46
20200702,FL,3718,68
20200703,FL,3785,67
20200704,FL,3803,18
20200705,FL,3832,29
20200706,FL,3880,48
20200707,FL,3943,63
20200708,FL,3991,48
20200709,FL,4111,120
20200710,FL,4203,92
20200711,FL,4301,98
20200712,FL,4346,45
20200713,FL,4381,35
20200714,FL,4514,133
20200715,FL,4626,112
20200716,FL,4782,156
20200717,FL,4912,130
20200718,FL,5002,90
20200719,FL,5091,89
20200720,FL,5183,92
20200721,FL,5319,136
20200722,FL,5459,140
20200723,FL,5632,173
20200724,FL,5768,136
20200725,FL,5894,126
20200726,FL,5972,78
20200727,FL,6049,77
20200728,FL,6240,191
20200729,FL,6457,217
20200730,FL,6709,252
20200731,FL,6966,257
20200801,FL,7144,178
20200802,FL,7206,62
20200803,FL,7279,73
20200804,FL,7526,247
20200805,FL,7751,225
20200806,FL,7871,120
